Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),Category
AAL,American Airlines Group Inc.,10.68,-0.05,-0.47%,32.909M,33.643M,7.007B,15.04,Most_active
AAPL,Apple Inc.,230.54,2.97,1.31%,52.696M,68.528M,3.535T,35.85,Most_active
ABEV,Ambev S.A.,2.15,0.01,0.47%,15.183M,17.544M,33.811B,12.65,Most_active
ABM,ABM Industries Incorporated,51.28,0.73,1.44%,"3,70,760","6,28,083",3.219B,13.39,Undervalued_growth_stocks
ABR,"Arbor Realty Trust, Inc.",12.89,-2.64,-17.00%,38.125M,4.164M,2.43B,8.06,"Top_Losers, Most_active"
ACGL,Arch Capital Group Ltd.,96.5,-0.5,-0.52%,1.507M,1.689M,36.235B,7.62,Undervalued_growth_stocks
ACLX,"Arcellx, Inc.",62.43,3.15,5.31%,"8,65,790","4,84,208",3.34B,,Top_Gainers
ACN,Accenture plc,310.63,12.64,4.24%,3.942M,3.533M,194.574B,28.42,Top_Gainers
ADMA,"ADMA Biologics, Inc.",12.78,0.47,3.82%,2.321M,3.003M,2.963B,,Top_Gainers
ADNT,Adient plc,24.07,-0.1,-0.41%,"7,41,842",1.062M,2.162B,14.77,Undervalued_growth_stocks
ADYEY,Adyen N.V.,12.57,0.44,3.63%,"23,631","5,87,124",39.038B,52.38,Top_Gainers
AEO,"American Eagle Outfitters, Inc.",21.17,0.09,0.40%,3.052M,4.712M,4.158B,19.07,Undervalued_growth_stocks
AGNC,AGNC Investment Corp.,10.45,0.3,2.96%,29.168M,11.719M,7.596B,11,Most_active
AGRO,Adecoagro S.A.,9.69,-0.24,-2.42%,"7,33,119","6,61,319",1.009B,4.12,Undervalued_growth_stocks
ALGN,"Align Technology, Inc.",242.65,-13.65,-5.33%,1.03M,"7,66,596",18.267B,40.04,Top_Losers
ALK,"Alaska Air Group, Inc.",38.41,0.5,1.32%,2.244M,1.864M,4.874B,20.32,Undervalued_growth_stocks
ALV,"Autoliv, Inc.",109.65,0.69,0.63%,"5,36,253","6,93,004",8.781B,17.19,Undervalued_growth_stocks
AMCR,Amcor plc,9.91,0.1,1.02%,9.147M,8.356M,14.323B,22.02,Most_active
AMCX,AMC Networks Inc.,10.04,-0.11,-1.08%,"6,37,365",1.415M,442.195M,2.81,Undervalued_growth_stocks
AMD,"Advanced Micro Devices, Inc.",181.61,-0.33,-0.18%,50.394M,51.997M,293.538B,263.2,Most_active
AMKBY,A.P. Møller - Mærsk A/S,7.84,-0.26,-3.21%,"1,90,387","1,99,614",24.795B,14.79,Top_Losers
AMZN,"Amazon.com, Inc.",194.49,-0.56,-0.29%,29.759M,41.763M,2.024T,54.33,Most_active
APA,APA Corporation,29.97,0.18,0.60%,4.198M,5.832M,11.125B,3.36,Undervalued_growth_stocks
APGE,"Apogee Therapeutics, Inc.",48.02,2.09,4.55%,"4,16,494","4,59,372",2.707B,,Top_Gainers
APPF,"AppFolio, Inc.",264.35,12.64,5.02%,"5,27,744","2,84,145",9.573B,125.28,Top_Gainers
APPN,Appian Corporation,33.64,1.15,3.54%,"5,61,279","5,56,316",2.43B,,Top_Gainers
APTV,Aptiv PLC,72.72,0.97,1.35%,3.205M,2.904M,19.784B,6.83,Undervalued_growth_stocks
ARCC,Ares Capital Corporation,21.19,-0.03,-0.14%,3.456M,3.253M,13.022B,7.23,Undervalued_growth_stocks
ARM,Arm Holdings plc,181.18,7.99,4.61%,8.98M,10.861M,189.848B,624.76,Top_Gainers
ASGN,ASGN Incorporated,94.67,3.59,3.94%,"3,84,496","3,40,466",4.345B,21.91,Top_Gainers
ASPN,"Aspen Aerogels, Inc.",27.24,1.13,4.33%,1.233M,1.33M,2.075B,,Top_Gainers
ASTH,"Astrana Health, Inc.",47.19,2.19,4.87%,"4,21,901","1,70,348",2.144B,35.75,Top_Gainers
ASTS,"AST SpaceMobile, Inc.",13.01,1.11,9.33%,10.731M,10.898M,3.469B,,"Top_Gainers, Most_active"
ASX,"ASE Technology Holding Co., Ltd.",11.9,-0.6,-4.80%,9.591M,5.685M,25.702B,24.29,"Top_Losers, Most_active"
AUR,"Aurora Innovation, Inc.",3.7,0.39,11.78%,12.752M,9.344M,5.744B,,Most_active
AXS,AXIS Capital Holdings Limited,70.58,0.21,0.30%,"2,84,912","5,73,959",5.975B,10.79,Undervalued_growth_stocks
