Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
ABR,"Arbor Realty Trust, Inc.",12.89,-2.64,-17.00%,38.125M,4.164M,2.43B,8.06
BWLP,BW LPG Limited,15.70,-1.53,-8.88%,"806,081","195,650",2.15B,4.30
GRFS,"Grifols, S.A.",8.26,-0.59,-6.67%,3.44M,1.453M,6.765B,82.60
WFC,Wells Fargo & Company,56.54,-3.62,-6.02%,52.887M,18.251M,197.117B,11.59
ALGN,"Align Technology, Inc.",242.65,-13.65,-5.33%,1.03M,"766,596",18.267B,40.04
BILI,Bilibili Inc.,16.71,-0.91,-5.16%,7.178M,7.423M,7.24B,N/A
ASX,"ASE Technology Holding Co., Ltd.",11.90,-0.60,-4.80%,9.591M,5.685M,25.702B,24.29
ZIM,ZIM Integrated Shipping Services Ltd.,17.05,-0.82,-4.59%,9.266M,5.845M,2.051B,N/A
NTNX,"Nutanix, Inc.",54.28,-2.42,-4.27%,5.245M,2.627M,13.388B,N/A
NVST,Envista Holdings Corporation,16.04,-0.70,-4.18%,3.094M,2.409M,2.757B,N/A
GDRX,"GoodRx Holdings, Inc.",7.71,-0.32,-3.99%,1.52M,1.277M,2.894B,N/A
HGTY,"Hagerty, Inc.",10.97,-0.45,-3.94%,"130,191","118,730",3.694B,137.12
HMY,Harmony Gold Mining Company Limited,9.62,-0.39,-3.90%,5.269M,4.21M,6.334B,12.18
VRT,Vertiv Holdings Co,89.67,-3.19,-3.44%,10.27M,9.409M,33.568B,85.40
BOWL,Bowlero Corp.,13.75,-0.48,-3.37%,"497,516","807,443",2.047B,24.12
HNHPF,"Hon Hai Precision Industry Co., Ltd.",13.39,-0.45,-3.25%,"43,385","144,780",92.987B,20.29
AMKBY,A.P. Møller - Mærsk A/S,7.84,-0.26,-3.21%,"190,387","199,614",24.795B,14.79
LYFT,"Lyft, Inc.",13.11,-0.42,-3.10%,12.359M,13.599M,5.29B,N/A
WST,"West Pharmaceutical Services, Inc.",322.98,-10.32,-3.10%,"627,848","551,241",23.644B,42.55
DAL,"Delta Air Lines, Inc.",43.62,-1.37,-3.05%,16.677M,8.431M,28.153B,6.26
LFST,"LifeStance Health Group, Inc.",5.33,-0.16,-2.91%,1.499M,1.59M,2.038B,N/A
URBN,"Urban Outfitters, Inc.",46.67,-1.39,-2.89%,1.9M,1.615M,4.359B,14.86
CRC,California Resources Corporation,51.40,-1.51,-2.85%,"952,597","914,709",4.584B,14.48
BIIB,Biogen Inc.,230.06,-6.74,-2.85%,1.464M,1.115M,33.496B,28.72
SMTC,Semtech Corporation,35.86,-1.04,-2.82%,2.453M,2.113M,2.318B,N/A
CNQ,Canadian Natural Resources Limited,35.53,-1.02,-2.79%,5.74M,4.673M,77.165B,14.33
HUBS,"HubSpot, Inc.",476.13,-13.64,-2.78%,1.857M,"786,964",24.265B,N/A
META,"Meta Platforms, Inc.",498.87,-13.83,-2.70%,19.584M,14.948M,1.265T,28.74
CROX,"Crocs, Inc.",139.24,-3.65,-2.55%,1.407M,1.205M,8.452B,10.80
VERA,"Vera Therapeutics, Inc.",36.62,-0.95,-2.53%,"441,111","779,038",2.003B,N/A
