Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
F,Ford Motor Company,14.03,0.56,4.16%,84.534M,47.995M,55.75B,14.46
UAL,"United Airlines Holdings, Inc.",44.72,-0.92,-2.02%,8.966M,8.836M,14.704B,5.46
GM,General Motors Company,49.01,1.08,2.25%,15.702M,13.719M,55.891B,5.98
DAL,"Delta Air Lines, Inc.",43.62,-1.37,-3.05%,16.677M,8.431M,28.153B,6.26
APA,APA Corporation,29.97,0.18,0.60%,4.198M,5.832M,11.125B,3.36
LAUR,"Laureate Education, Inc.",15.16,0.1,0.66%,"5,14,041","8,02,437",2.352B,18.05
AEO,"American Eagle Outfitters, Inc.",21.17,0.09,0.40%,3.052M,4.712M,4.158B,19.07
HAL,Halliburton Company,33.94,0.32,0.95%,6.776M,7.291M,30.047B,11.78
CVS,CVS Health Corporation,59,0.79,1.36%,6.832M,12.699M,74.067B,10.35
MTCH,"Match Group, Inc.",32.28,0.73,2.31%,6.573M,5.097M,8.576B,14.16
TIGR,UP Fintech Holding Limited,4.53,-0.08,-1.74%,"3,00,723",1.159M,710.716M,25.17
BK,The Bank of New York Mellon Corporation,64.69,3.22,5.24%,9.386M,3.5M,48.376B,15.33
PYPL,"PayPal Holdings, Inc.",60.27,0.28,0.47%,8.057M,12.064M,63.045B,15.18
BRK-B,Berkshire Hathaway Inc.,424.44,5.66,1.35%,4.805M,3.447M,916.349B,12.52
DOLE,Dole plc,12.81,0.14,1.10%,"3,79,391","5,91,250",1.216B,6.31
NOV,NOV Inc.,18.52,0.16,0.87%,1.927M,2.928M,7.325B,7.47
CIG,Companhia Energética de Minas Gerais - CEMIG,1.92,-0.02,-1.03%,"6,59,289",2.025M,6.056B,5.19
TGT,Target Corporation,152.85,1.45,0.96%,2.601M,4.059M,70.714B,17.12
IBN,ICICI Bank Limited,29.18,-0.13,-0.44%,2.606M,4.795M,103.874B,19.58
ALK,"Alaska Air Group, Inc.",38.41,0.5,1.32%,2.244M,1.864M,4.874B,20.32
FOXA,Fox Corporation,35.73,0.09,0.25%,1.532M,2.773M,16.116B,11.27
URBN,"Urban Outfitters, Inc.",46.67,-1.39,-2.89%,1.9M,1.615M,4.359B,14.86
SLM,SLM Corporation,21.91,0.2,0.92%,1.066M,1.582M,4.814B,6.83
ACGL,Arch Capital Group Ltd.,96.5,-0.5,-0.52%,1.507M,1.689M,36.235B,7.62
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",10.64,0.11,1.04%,"5,04,765",1.663M,61.321B,7.24
CNC,Centene Corporation,67.86,0.61,0.91%,3.922M,3.752M,36.214B,13.38
EURN,Euronav NV,16.31,0,0.00%,"1,56,752","2,78,253",3.168B,2.79
HIG,"The Hartford Financial Services Group, Inc.",101.75,0.41,0.40%,1.019M,1.535M,30.093B,11.59
ARCC,Ares Capital Corporation,21.19,-0.03,-0.14%,3.456M,3.253M,13.022B,7.23
CHX,ChampionX Corporation,32.68,0.1,0.31%,2.797M,1.911M,6.223B,17.76
JKS,"JinkoSolar Holding Co., Ltd.",23.21,0.31,1.35%,"5,64,964","8,39,759",1.182B,3.29
MUFG,"Mitsubishi UFJ Financial Group, Inc.",11.07,-0.02,-0.18%,1.201M,2.084M,129.413B,14.38
PLYA,Playa Hotels & Resorts N.V.,8.47,0,0.00%,"4,60,613","6,01,903",1.128B,17.65
GNTX,Gentex Corporation,34.34,0.2,0.59%,"8,93,419",1.33M,7.939B,18.17
TEX,Terex Corporation,54.62,0.31,0.57%,"8,70,011","8,28,740",3.676B,7.22
APTV,Aptiv PLC,72.72,0.97,1.35%,3.205M,2.904M,19.784B,6.83
PUMP,ProPetro Holding Corp.,8.42,0.03,0.36%,"6,78,820",1.672M,901.268M,12.2
YALA,Yalla Group Limited,4.7,0.01,0.21%,"87,713","1,86,469",746.684M,6.62
VOYA,"Voya Financial, Inc.",71.86,-0.57,-0.79%,"7,14,569","7,69,237",7.236B,10.22
GDDY,GoDaddy Inc.,145.33,3.21,2.26%,1.255M,1.863M,20.483B,12.59
YY,JOYY Inc.,34.68,0.72,2.12%,"3,04,000","3,64,135",2.057B,6.75
PVH,PVH Corp.,107.42,-1.46,-1.34%,"6,45,576","8,06,401",6B,9.58
SIG,Signet Jewelers Limited,88.09,-1.84,-2.05%,"8,54,224","8,10,840",3.929B,7.15
UGP,Ultrapar Participações S.A.,4.19,-0.08,-1.87%,"7,37,176",1.233M,4.661B,9.52
INCY,Incyte Corporation,63.66,1.37,2.20%,1.933M,3.626M,12.542B,19.29
SEM,Select Medical Holdings Corporation,37.49,0.49,1.32%,"4,16,762","6,08,203",4.875B,17.85
GBDC,"Golub Capital BDC, Inc.",15.84,-0.16,-1.00%,1.648M,1.198M,4.176B,7.8
CAKE,The Cheesecake Factory Incorporated,37.97,0.22,0.58%,"7,21,681","9,99,712",1.935B,17.34
FSK,FS KKR Capital Corp.,20.33,0.03,0.15%,"6,60,775",1.278M,5.694B,8.51
BNL,"Broadstone Net Lease, Inc.",16.83,0.19,1.14%,"8,97,869",1.076M,3.32B,17.35
LW,"Lamb Weston Holdings, Inc.",78.95,0.02,0.03%,2.072M,1.984M,11.4B,10.51
ADNT,Adient plc,24.07,-0.1,-0.41%,"7,41,842",1.062M,2.162B,14.77
FOX,Fox Corporation,33.35,0.1,0.30%,"3,56,469",1.041M,16.115B,10.52
L,Loews Corporation,76.92,0.3,0.39%,"4,61,472","7,42,708",17.031B,11.43
MGA,Magna International Inc.,44.45,-0.1,-0.22%,1.032M,1.9M,12.775B,12.59
AXS,AXIS Capital Holdings Limited,70.58,0.21,0.30%,"2,84,912","5,73,959",5.975B,10.79
EAT,"Brinker International, Inc.",63.76,-1.45,-2.22%,2.654M,1.525M,2.837B,18.92
SKX,"Skechers U.S.A., Inc.",68.16,0.26,0.38%,1.968M,1.877M,10.396B,17.94
AGRO,Adecoagro S.A.,9.69,-0.24,-2.42%,"7,33,119","6,61,319",1.009B,4.12
DNOW,DNOW Inc.,13.54,0.09,0.67%,"4,75,265","8,42,356",1.446B,6.3
OCSL,Oaktree Specialty Lending Corporation,18.55,-0.05,-0.27%,"5,86,208","5,37,488",1.51B,13.64
RGA,"Reinsurance Group of America, Incorporated",212.64,0.9,0.43%,"2,91,454","3,55,059",13.99B,16.5
HMC,"Honda Motor Co., Ltd.",32.59,0.41,1.27%,"5,03,865","8,28,001",52.384B,7.78
THC,Tenet Healthcare Corporation,134.39,0.66,0.49%,"7,50,963",1.306M,13.128B,5.21
SAH,"Sonic Automotive, Inc.",56.69,1.58,2.87%,"2,01,801","2,00,064",1.933B,11.62
HLIT,Harmonic Inc.,11.91,-0.09,-0.75%,1.041M,1.458M,1.388B,19.52
CE,Celanese Corporation,142.24,3.05,2.19%,"8,77,640","7,16,900",15.535B,7.8
MDU,"MDU Resources Group, Inc.",25.3,-0.02,-0.08%,"5,66,820",1.153M,5.158B,10.37
TKC,Turkcell Iletisim Hizmetleri A.S.,8.18,-0.02,-0.24%,1.031M,"4,33,209",7.348B,17.4
LEA,Lear Corporation,118.78,1.13,0.96%,"5,10,291","7,83,611",6.745B,12.95
ABM,ABM Industries Incorporated,51.28,0.73,1.44%,"3,70,760","6,28,083",3.219B,13.39
TK,Teekay Corporation,8.13,-0.11,-1.33%,"4,86,997","5,81,275",742.937M,4.99
ALV,"Autoliv, Inc.",109.65,0.69,0.63%,"5,36,253","6,93,004",8.781B,17.19
ELP,Companhia Paranaense de Energia - COPEL,7.55,0,0.00%,"1,35,950","2,27,659",5.63B,14.52
OSK,Oshkosh Corporation,108.03,1.62,1.52%,"3,32,603","4,67,382",7.065B,10.34
TILE,"Interface, Inc.",15.48,0.28,1.84%,"2,74,415","4,73,877",901.599M,15.33
VAL,Valaris Limited,76.76,1.26,1.67%,"6,07,123","9,24,840",5.558B,6.82
WES,"Western Midstream Partners, LP",40.96,0.27,0.66%,"5,20,575",1.106M,15.585B,11.54
CBT,Cabot Corporation,94.99,1.25,1.33%,"3,02,615","3,24,656",5.249B,12.07
LRN,"Stride, Inc.",68.58,1.06,1.57%,"4,69,692","6,51,017",2.966B,16.06
IMMR,Immersion Corporation,10.72,0.11,1.04%,"7,53,094","5,53,482",341.483M,7.77
GSBD,"Goldman Sachs BDC, Inc.",15.5,-0.03,-0.19%,"4,41,468","6,09,182",1.739B,8.03
GGN,"GAMCO Global Gold, Natural Resources & Income Trust",4.14,0,0.00%,"2,20,793","3,84,345",638.79M,8.45
MOH,"Molina Healthcare, Inc.",293.35,3.28,1.13%,"4,47,899","5,02,500",17.186B,15.93
BMA,Banco Macro S.A.,53.7,-1,-1.83%,"1,33,790","4,03,704",5.073B,3.82
PBYI,"Puma Biotechnology, Inc.",3.59,0.15,4.36%,"4,41,184","4,64,101",173.177M,11.22
GBX,"The Greenbrier Companies, Inc.",45.45,0.33,0.73%,"3,46,023","3,53,085",1.415B,11.93
AMCX,AMC Networks Inc.,10.04,-0.11,-1.08%,"6,37,365",1.415M,442.195M,2.81
KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",10.62,0.04,0.38%,"2,93,052","4,52,796",1.796B,14.96
NFE,New Fortress Energy Inc.,21.21,0.63,3.06%,2.069M,1.982M,4.349B,9.64
